[20:13:22][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3047188499.mod line: 7
[20:13:22][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3375256356.mod line: 6
[20:13:22][no_game_date][persistent.cpp:66]: Error: "Unexpected token: thumbnail.png, near line: 8" in file: "mod/ugc_3585920882.mod" near line: 8
[20:13:22][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_699302152.mod line: 8
[20:13:36][no_game_date][pdx_entity.cpp:2172]: Duplicate of JAP_light_plane_1_entity added to entity system
[20:13:36][no_game_date][pdx_entity.cpp:2172]: Duplicate of JAP_light_plane_3_entity added to entity system
[20:13:37][no_game_date][effect.cpp:443]: Invalid effect 'NXM' in history/states/1040 - Alxa.txt line : 30
[20:13:37][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: NXM, near line: 30" in file: "history/states/1040 - Alxa.txt" near line: 33
[20:13:37][no_game_date][effect.cpp:443]: Invalid effect 'KHM' in history/states/1042 - Khotan.txt line : 19
[20:13:37][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: KHM, near line: 19" in file: "history/states/1042 - Khotan.txt" near line: 21
[20:13:37][no_game_date][effect.cpp:443]: Invalid effect 'GSM' in history/states/1044 - Wuwei.txt line : 27
[20:13:37][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: GSM, near line: 27" in file: "history/states/1044 - Wuwei.txt" near line: 30
[20:13:37][no_game_date][effect.cpp:443]: Invalid effect 'NXM' in history/states/1045 - Guyuan.txt line : 30
[20:13:37][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: NXM, near line: 30" in file: "history/states/1045 - Guyuan.txt" near line: 33
[20:13:38][no_game_date][effect.cpp:443]: Invalid effect 'XIC' in history/states/283-China.txt line : 32
[20:13:38][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: XIC, near line: 32" in file: "history/states/283-China.txt" near line: 36
[20:13:38][no_game_date][effect.cpp:443]: Invalid effect 'KHM' in history/states/287-Sinkiang.txt line : 21
[20:13:38][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: KHM, near line: 21" in file: "history/states/287-Sinkiang.txt" near line: 23
[20:13:38][no_game_date][effect.cpp:443]: Invalid effect 'GDC' in history/states/592-Guangzhou.txt line : 20
[20:13:38][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: GDC, near line: 20" in file: "history/states/592-Guangzhou.txt" near line: 23
[20:13:38][no_game_date][effect.cpp:443]: Invalid effect 'NXM' in history/states/616-China 14.txt line : 42
[20:13:38][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: NXM, near line: 42" in file: "history/states/616-China 14.txt" near line: 45
[20:13:38][no_game_date][effect.cpp:443]: Invalid effect 'GSM' in history/states/756-Jiuquan.txt line : 38
[20:13:38][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: GSM, near line: 38" in file: "history/states/756-Jiuquan.txt" near line: 41
[20:13:38][no_game_date][effect.cpp:443]: Invalid effect 'KHM' in history/states/759-Kunlun.txt line : 30
[20:13:38][no_game_date][effect.cpp:356]: Error: "Unknown effect-type: KHM, near line: 30" in file: "history/states/759-Kunlun.txt" near line: 32
[20:13:38][no_game_date][equipment_graphic_database.cpp:46]: GFX referenced in equipment graphic database does not exist: "GFX_JAP_land_cruiser_armor_medium", associated with JAP land_cruiser_chassis_1
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Afar Sefari. There is unknown tag in for_countries scope: AFA: }, near line: 5" in file: "common/units/names_divisions/AFA_names_divisions.txt" near line: 5
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Aussa Sefari. There is unknown tag in for_countries scope: AFA: }, near line: 32" in file: "common/units/names_divisions/AFA_names_divisions.txt" near line: 32
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 38
Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: WES: }, near line: 38" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 38
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 80
Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: WES: }, near line: 80" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 80
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 118
Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: WES: }, near line: 118" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 118
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 160
